first_name,last_name,location,AcctNo,Balance,PIN
Sonja,Whiles,Warm Springs,4119554812,19459.35,8058
Jordana,Creelman,Las Vegas,5714107533,19139.09,1235
Myrlene,Knewstub,Rainbow,5323452358,7477.94,8750
Malinde,Ellissen,Las Vegas,5600431245,6495.63,2995
Krystle,Reckless,Charleston,9156234610,1194.64,6883
Jacquie,Abbitt,Flamingo,7709630255,12235.72,1713
Jory,Oakley,Warm Springs,4231615792,12289.83,7879
Cybil,Shavel,Maryland,6662901434,3144.47,1493
Curt,Beedie,Desert Inn,2947484001,16001,1801
Mallorie,Radbone,Blue Diamond,1819198939,3535.85,2836
Sarajane,MacAlees,Charleston,6271627800,13855.13,8896
Fayre,Coultous,Warm Springs,5966538595,2417.18,2054
Adham,Michelotti,Swenson,2984468099,16969.33,8761
Whitney,Stormont,Spring Mountain,4971922507,12276.04,6317
Jobi,Bucke,Desert Inn,6444519150,8209.61,7217
Ame,Wiltshire,Blue Diamond,4811161008,8406.91,4186
Madison,Pelzer,Tropicana,6834580480,1441.06,8425
Norton,Bonnaire,Decatur,1599137885,7204.76,7901
Fabian,Mesnard,Durango,5483487503,17861.25,4985
Field,Cash,Durango,3326421283,10856.83,8270
Wilbur,Kos,Maryland,1326718643,17199.55,3266
Thane,Jiggens,Maryland,3816165534,19888.41,5259
Karlotte,Ramard,Paradise,4890754769,3278.94,1214
Glynda,Balstone,Flamingo,5829804739,3832.92,8076
Chrotoem,O' Mullan,Paradise,5125998277,13689.3,7875
Chase,Geipel,Spring Mountain,1263303676,10749.75,7263
Engracia,Cowing,Maryland,8117518150,2681.64,7082
Melinde,Adamowitz,Flamingo,6311947617,1698.17,1845
Amelina,Marishenko,Durango,6201994947,4589.43,2668
Saunders,Ebbett,Warm Springs,3795954077,11827.56,3636
Hillier,Stratford,Durango,4082568549,10715.11,3394
Muhammad,Pettisall,Blue Diamond,1494055710,6707.49,2909
Jareb,Hallybone,Paradise,4975959516,3611.86,7863
Seymour,Hansen,Paradise,2322918171,12047.7,5113
Rodolphe,Daulton,Rainbow,2501127773,12080.69,5467
Worth,Tizzard,Paradise,8050864757,7589.15,1722
Aridatha,Salla,Fort Apache,2091129906,12556.05,6252
Baxy,Fairbard,Las Vegas,3089893590,19022.75,4549
Nixie,Scyone,Rainbow,2873959310,8837.71,8341
Elfrida,Shooter,Fort Apache,3966869450,9633.61,7332
Lucilia,Kerss,Charleston,5969968864,4596.78,5157
Vladimir,Cicco,Rainbow,1483238540,1882.17,5252
Leonardo,Jendricke,Desert Inn,2667144156,2802.78,6925
Zebulon,Lochran,Las Vegas,6456969353,13705.57,7967
Kristien,Canny,Charleston,5460933642,6269.29,1457
Arlena,Corbyn,Desert Inn,9115251730,2771.14,2730
Nellie,Follett,Charleston,9987127359,1950.21,7289
Minette,Iltchev,Flamingo,1575482127,9659.82,7850
Justine,Stancliffe,Durango,2520692784,9626.62,3588
Falito,Mursell,Decatur,6793452471,1119.58,1658
Flem,Levington,Charleston,3680449874,19960.23,2477
Trish,Poley,Spring Mountain,2550603293,5933.38,1525
Renaldo,Crimes,Spring Mountain,4865492433,14962.08,8675
Cassi,Edworthye,Tropicana,5960378059,1807.68,4082
Katha,Beck,Paradise,1578953991,11103.23,9691
Jerrold,Vuitte,Tropicana,2210631836,17602.17,5753
Shermie,Scogin,Durango,8917414057,11254.49,3100
Lyndsay,Jeanenet,Charleston,1290651841,4335.09,1470
Kerianne,Pelos,Rainbow,2700271649,8990.85,1426
Kally,Kibble,Warm Springs,4503221888,8674.54,7110
Corina,Tures,Swenson,6879684958,4605.68,7127
Yorgo,Allsep,Flamingo,4532891954,7862.83,3559
Eva,Conachy,Desert Inn,1843826514,7277.26,4732
Evvie,Fynes,Decatur,6753694910,11403.5,3203
Hodge,Tefft,Fort Apache,5472962986,19991.48,2655
Marena,Franceschino,Rainbow,3772117906,10247.93,4769
Kalila,Abrahamson,Desert Inn,8955792831,16132.85,6699
Idette,MacCaig,Maryland,9308887124,13488.3,8665
Cob,Hanshaw,Charleston,2728873675,4681.77,1449
Porty,Caldwell,Blue Diamond,4710824698,15229.03,2655
Annelise,Cubuzzi,Flamingo,4146580974,15822.52,9331
Barnebas,Durtnel,Spring Mountain,5300732035,15530.35,6736
Derron,Roset,Decatur,6595473004,13514.73,9202
Madella,Rotte,Swenson,9170607860,3160.71,9001
Helene,Vautrey,Warm Springs,9624417709,16822.77,1474
Yule,Lefever,Durango,5023959564,6183.06,9487
Aurelia,Reichardt,Swenson,5267416123,13418.41,9648
Christan,Hillitt,Spring Mountain,7137678217,1787.98,5517
Rycca,Flobert,Desert Inn,1373876020,8538.3,3434
Brianna,Prestland,Fort Apache,2165576928,2060.35,1134
Celinda,Heffron,Fort Apache,6270047380,12349.61,8494
Hillier,Erat,Desert Inn,4598908252,4224.56,3285
Barbie,Aldie,Rainbow,9471460629,10953.74,4627
Kit,MacGovern,Rainbow,2921828788,14494.86,7990
Jillian,Stammer,Paradise,2523316295,18467.06,3066
Cheryl,Kenrat,Flamingo,5215175208,7886.99,9791
Sherm,Kumaar,Flamingo,9223566601,16960.62,6374
Eirena,Deering,Charleston,5579476486,6452.19,9095
Traver,Paske,Paradise,5791147358,4288.33,9464
Ezequiel,McClelland,Spring Mountain,5668724301,8952.76,9597
Judd,Gero,Swenson,1247301177,4355.28,8665
Ros,Alben,Maryland,5391406418,8276.33,6859
Hew,Andrag,Tropicana,7188872175,3651.88,2997
Franciska,Kinavan,Swenson,5578697824,16444.73,5850
Daryl,Littlemore,Warm Springs,6359038715,2175.81,3234
Abba,Dinnies,Swenson,6362008836,1121,9726
Delbert,Lovelady,Las Vegas,4891876240,16120.5,3347
Siouxie,Duffill,Warm Springs,2202366289,6188.84,6015
Harley,Jacox,Rainbow,1025373360,16255.53,2084
Merna,Luckin,Warm Springs,7320152339,3609.56,1796
Neil,Clappison,Spring Mountain,5777252577,2438.68,4792
Mendel,MacKaig,Warm Springs,8453000719,15186.77,6969
Reinhold,Fairnington,Las Vegas,6101010745,10274.94,1100
Quincey,Pinkett,Decatur,3061062916,5294.88,7013
Lucian,Chason,Maryland,2116709487,5596.54,5396
Parnell,Birts,Paradise,5413900516,2655.07,6103
Honey,Shatford,Swenson,8155454262,5946.26,9222
Olympe,Sloyan,Blue Diamond,7332038154,6227.21,2861
Bendix,Rockingham,Maryland,4199709882,16254.2,7706
Dimitry,Fosher,Warm Springs,9209366690,15520.84,4135
Drusy,Lorente,Durango,8316379162,10936.08,9920
Birch,Le Marchant,Las Vegas,8612045131,16627.14,3643
Erma,Torrisi,Warm Springs,2946565478,6114.24,6266
Lonna,Popelay,Maryland,5431823142,14571.1,6448
Wake,Laidlow,Charleston,2998307456,9392.55,6401
Myriam,Arrington,Decatur,7492715556,11724.26,2130
Merrilee,Gundry,Rainbow,6732068191,16585.28,8714
Mikaela,Berrecloth,Swenson,5924837057,10482.7,7515
Devora,O'Hearn,Decatur,5157898224,18162.83,3953
Gisele,Asquez,Warm Springs,8612974016,18105.51,9312
Auria,Bloxland,Paradise,9853820330,5071.09,5972
Frederigo,Petford,Charleston,4045613300,9625.76,6415
Sukey,Joseff,Fort Apache,2776395093,18610.54,9597
Nicolais,Gamblin,Desert Inn,5343842342,12652.1,8012
Robbie,Peggrem,Las Vegas,3539056325,16241.52,5047
Jethro,Dripps,Charleston,9692141387,10960.6,8864
Hollie,Bernot,Swenson,4193477719,6220.49,6786
Nikolia,Cowx,Flamingo,7488009400,19886.1,5832
Anallise,Valenta,Las Vegas,2395733056,18368.12,2661
Garrek,Abela,Las Vegas,8132933032,7527.96,7991
Brina,Muat,Paradise,3856240206,9141.14,5248
Cicely,Stiggers,Warm Springs,3902146991,19821.32,6564
Zach,Cowthard,Paradise,4591146909,10405.94,4574
Deny,Laraway,Durango,8287271123,15342.65,7159
Fayth,Cumberpatch,Rainbow,8626187576,8511.73,6626
Britteny,Dewett,Charleston,1165220479,16439.07,7781
Jeralee,Ogdahl,Charleston,2776942261,11747.77,7291
Brianne,Bach,Warm Springs,1307128643,8714.27,6298
Aldridge,Heyns,Rainbow,7723735462,1934.37,7470
Avivah,Dullard,Paradise,6688846923,14828.14,4181
Melamie,Ateridge,Paradise,9929476133,2773.23,7941
Courtnay,O'Hederscoll,Flamingo,7207987767,15630.25,9818
Correy,Middiff,Durango,2658000953,19601.44,2652
Leo,Engeham,Decatur,5249802023,12353.01,2222
Osborn,Edgin,Desert Inn,1497255634,15298.27,3473
Eryn,Barrable,Decatur,9182836231,16421.87,8756
Em,Kubczak,Flamingo,1303163212,14343.72,6753
Wanids,Dixey,Decatur,8871535278,3906.01,1353
Brandy,Dossantos,Charleston,8786858919,1853.98,4535
Alfy,Waples,Spring Mountain,3711683324,7131.24,9386
Will,Moloney,Rainbow,7423862074,5644.65,1720
Chicky,Joint,Paradise,4968572017,4977.79,3613
Sharline,Whelband,Desert Inn,5089473444,17873.67,2688
Bennie,Loudyan,Decatur,5508659844,7236.35,2273
Emilia,Marien,Flamingo,4495731694,15797.52,4464
Veda,McBeth,Las Vegas,1780766835,15556.78,8334
Rollie,Saill,Fort Apache,7584458897,16262.91,8358
Marji,Mattioli,Decatur,3525056629,18314.76,5636
Jody,Wringe,Tropicana,9202430287,9304.5,1862
Alysia,Rollo,Rainbow,2854386707,1725.77,6430
Rinaldo,Millimoe,Rainbow,3886092199,7522.34,7421
Kennedy,Opdenort,Desert Inn,7710647719,14702.02,2484
Annice,Ponton,Desert Inn,5819311337,2298.42,6149
Salmon,Blencowe,Swenson,1499721974,4023.84,6579
Cornelia,Skace,Durango,3628886794,15048.55,2306
Alys,De Dantesie,Rainbow,8125133667,6504.55,1535
Lillian,Kindread,Flamingo,9945622717,7545.36,8764
Sarita,Patershall,Tropicana,9577479055,17025.53,3461
Lou,Ibbitt,Desert Inn,7696213285,9875.98,8283
Omero,Fairman,Spring Mountain,6568808567,10878.99,8299
Vivienne,Tebbut,Desert Inn,7709003219,16420.22,2488
Shina,Piken,Flamingo,1577975923,13491.58,6788
Anton,Gartery,Tropicana,8368045455,17555.13,6207
Symon,Strood,Durango,2796195603,3414.76,6295
Courtney,Matiewe,Desert Inn,3620561978,3209.44,6104
Laurent,Stainfield,Paradise,6170672001,3785.99,4491
Esdras,Barnwill,Swenson,7884830491,14728.86,6332
Raf,Whilde,Swenson,7822051226,3714.59,2608
Clarine,Wandtke,Las Vegas,9691699303,7207.99,9321
Quintus,Dewerson,Las Vegas,2412751744,12425.19,1154
Vikky,Antonioni,Warm Springs,8032464053,5218.63,9178
Donn,Mellish,Spring Mountain,2781416994,13445.44,3264
Dorothee,Tipper,Durango,9553600534,19731.79,5205
Neysa,Twomey,Las Vegas,9258403767,10683.65,5877
Salomo,Grossman,Fort Apache,1006558696,11821.49,9430
Brandise,Canon,Rainbow,2310729921,7517.16,3512
Gleda,Dametti,Flamingo,3520717639,11643.18,5133
Barb,Wyldes,Flamingo,7771339194,4867.61,3900
Abbe,Cripwell,Maryland,9778978382,19052.42,4142
Malcolm,Seymour,Blue Diamond,1742264881,11130.41,4211
Kirsten,Menchenton,Warm Springs,8319431302,7924.98,8078
Zed,Wayte,Swenson,2069757774,8236.93,9684
Selle,Philpault,Decatur,9088372109,13914.61,1604
Tamqrah,Whapples,Warm Springs,9318626020,2479.07,6576
Teodor,Deschelle,Durango,9374840792,6530.14,9509
Elliott,Randal,Swenson,1908735912,6142.73,6144
Lek,Stowell,Desert Inn,1137911597,7005.89,6781
Jeffrey,Crufts,Blue Diamond,2811352032,5125.6,2917
Darrel,Adnam,Blue Diamond,7933232509,1665.82,3560
Celestyna,Hunte,Desert Inn,2591009548,7811.64,9947
Adelaide,Ledgard,Rainbow,6550374224,10835.94,7023
Jasper,Jeandeau,Fort Apache,5806528459,3975.74,1093
Anna-maria,Carpe,Flamingo,9708330390,16469.07,4349
Ariela,Castagnet,Paradise,2513549970,2334.54,8859
Mary,Creek,Flamingo,8656821483,9505.8,8905
Chas,Deighton,Swenson,5558835379,4605.65,5575
Kinna,Elijah,Blue Diamond,2773507286,14450.29,8605
Bibbie,Fearby,Maryland,6348572372,14308.1,6378
Urbain,Abrahmovici,Paradise,5307436285,13640.98,4112
Berrie,Waud,Blue Diamond,9962269586,4158.23,8278
Cyndi,Gerwood,Fort Apache,9991131115,15912.07,9296
Kippy,Burnard,Durango,5361220783,6746.45,8949
Kris,St. Clair,Desert Inn,4548117273,10872.83,2642
Juan,Buscher,Flamingo,9913414870,13617.67,2410
Lynett,McMillan,Blue Diamond,5664358500,7592.01,6192
Hubert,Reeson,Maryland,6142818395,10952.35,2642
Charmian,Pietrowicz,Warm Springs,2017982843,14605.11,9579
Pavlov,Bickerstasse,Las Vegas,9976709614,16713.27,4133
Renie,Marnes,Desert Inn,3081022694,10268.62,4383
Burnard,Gyurkovics,Durango,2355134997,6265.54,4018
Jo,Jowers,Charleston,9428478435,1626.8,5769
Jamison,Degnen,Warm Springs,4004260105,1703.28,4978
Constantina,Petts,Rainbow,3403415348,17468.14,5727
August,Fiddyment,Decatur,4971459972,11047.09,6158
Dita,Portis,Flamingo,4399421361,18455.52,6438
Malvina,Joel,Maryland,3852100589,8544.07,5723
Pate,Bradnocke,Rainbow,1341304569,12310.35,6819
Roderick,Aujean,Flamingo,4676896518,4525.54,1418
Hieronymus,Lansdown,Flamingo,6144614671,9408.49,7722
Ernesta,Kalb,Decatur,3963343045,14888.9,9263
Harris,Marriott,Swenson,3258626430,17163.2,5017
Myca,Sedgwick,Swenson,9514581339,14061.9,9454
Mellie,Rowlinson,Flamingo,8085309911,15983.53,6651
Maggie,Dwelly,Durango,5771145342,17215.49,6175
Meredith,Zorzini,Fort Apache,4527189348,5427.21,7264
Lannie,Bloxholm,Fort Apache,9563628539,12328.27,9977
Lucio,Windress,Fort Apache,4902680672,9733.79,4467
Nolana,Wreath,Paradise,7662903318,7940.52,4735
Emyle,Boustred,Swenson,4456856547,2977.44,6519
Abby,Myrie,Las Vegas,3111815549,13491.57,6616
Levi,Rome,Swenson,2055374359,13037.48,7444
Stephani,Thomke,Charleston,4343368230,14597.44,6167
Corabelle,Fairfoul,Blue Diamond,4154386352,18606.45,9514
Andria,Springtorp,Warm Springs,3941956672,17387.2,7108
Jacquette,Kmicicki,Warm Springs,3083846686,2535.45,5602
Odetta,Wapple,Durango,8060634336,11680.1,1781
Isidora,Gordon-Giles,Blue Diamond,1259501292,17354.4,2445
Nollie,Heibl,Tropicana,6942153350,13007.51,2947
Trudy,Chaff,Blue Diamond,9707104698,16661.82,7422
Robert,Weedall,Blue Diamond,8607642686,8269.76,9893
Hersh,Duffy,Spring Mountain,8538441456,6778.65,9431
Roana,McCrackan,Blue Diamond,4004335719,17932.56,2646
Tracey,Cotterell,Desert Inn,8144782949,4203.94,4152
Ardith,Readwood,Charleston,7184266880,7772.8,5086
Nels,Pegg,Paradise,1895810158,8730.2,4143
Beulah,Maylor,Swenson,5753916971,5508.42,5393
Brewster,Hitzmann,Paradise,3451991367,8549.99,8211
Brewster,Raison,Swenson,6927541219,15340.21,5036
Nicol,Alps,Durango,3919245775,5720.89,2721
Darbie,Mabon,Blue Diamond,4349825693,8744.97,3335
Julianna,Maymond,Charleston,5747750107,8818.63,9161
Frank,Melmore,Rainbow,5756870567,8399.16,8786
Onofredo,Vannuccinii,Charleston,2413387980,2595.22,1839
Fifine,Blees,Flamingo,9659526009,3959.25,5323
Aurel,Rumsby,Tropicana,5874038667,15062.4,3587
Angelita,Scullard,Fort Apache,9468007276,1967.54,4086
Heriberto,Whitecross,Desert Inn,2902213237,14579.82,7326
Rob,Igounet,Swenson,5078873305,2989.13,4660
Jerrilyn,Corrao,Warm Springs,7394131702,9176.73,5525
Veronike,Newland,Swenson,7111976025,15193.62,6410
Bernardo,Bartaletti,Paradise,5532714900,2988.84,4038
Ransell,Lorne,Tropicana,9170277232,18266.17,3675
Rosalinda,Horsewood,Warm Springs,9606227731,15745.29,7390
Elston,Swindells,Warm Springs,8426846576,19907.71,6941
Estell,Arnau,Durango,4845161190,13213.82,2412
Jessa,Brearty,Tropicana,5387464739,16675.5,3158
Edi,Cortese,Rainbow,1017169262,7545.75,8556
Gael,Betje,Tropicana,3739392615,4077.95,9925
Alecia,Startin,Desert Inn,8446148380,11878.57,2212
Yolande,Larwood,Decatur,4297392211,7819.62,7435
Zonda,Jeannard,Las Vegas,1147727112,6242.06,9904
Gwendolyn,Cundey,Desert Inn,6062605844,19729,3902
Tibold,Boulds,Paradise,1875580520,15326.95,5087
Reynold,Meuse,Las Vegas,3162375475,5564.53,6070
Nye,MacAlpyne,Desert Inn,4244563382,17723.64,1151
Cody,Christley,Blue Diamond,8109089511,4505.7,9446
Helena,Robel,Paradise,9949500567,12023.29,1873
Barney,Brinkman,Paradise,3883063035,8305.49,9337
Hillie,Jeafferson,Las Vegas,7828807447,2770.01,3481
Donaugh,Abrams,Spring Mountain,6128309663,19176.16,7011
Jewel,McLafferty,Spring Mountain,9361831455,2769.47,8282
Clayson,Sawle,Las Vegas,1558887326,18686.74,9067
Demetris,Claffey,Desert Inn,1102147486,16386.82,4510
Finlay,Bettison,Las Vegas,5552063033,18126.42,8704
Jade,Shepherdson,Flamingo,6364169568,3654.53,9179
Karine,Casswell,Tropicana,1057453754,14398.87,3362
Brock,Weightman,Rainbow,9262670088,13095.4,5922
Mallory,Blum,Flamingo,5928414265,14367.93,2033
Egor,Tidgewell,Durango,5049273815,19507.68,8488
Jud,Medina,Desert Inn,9404575677,15792.56,3129
Belita,Pipping,Decatur,8119396514,13223.8,5471
Eydie,Gilkison,Spring Mountain,7772979685,12723.44,2708
Ajay,Younghusband,Tropicana,8594944119,13010.34,8574
Michele,Posnette,Rainbow,7514831159,6935.96,6398
Cece,Biggen,Las Vegas,6552667452,16819.4,1936
Mireille,Nealey,Spring Mountain,8231448423,2069.13,8640
Tallulah,Ridoutt,Flamingo,6720377407,10828.81,8535
Gabe,Troke,Spring Mountain,8994222402,11329.11,5539
Imogen,Sarney,Tropicana,2202103865,13576.17,2988
Sallee,Scheffel,Warm Springs,7676084497,19901.29,8631
Aubrey,Conner,Decatur,3801248452,2760.32,9822
Hanny,Tesche,Durango,9257983543,2780.99,7946
Bibi,Oliffe,Las Vegas,3426847331,14418.53,9997
Sergeant,Mumbeson,Spring Mountain,8703796598,2505.58,1384
Sheff,Leopard,Fort Apache,2954847695,1598.49,2337
Chloris,Romeril,Las Vegas,2465188294,6047.76,3998
Nadia,Bonnyson,Rainbow,3987766353,19197.76,8735
Cathyleen,Sweetman,Warm Springs,8105002128,10337.29,9526
Billye,McLean,Paradise,6575847309,18039.27,6051
Howard,Vertey,Charleston,6135364132,10561.63,3354
Vanny,Verna,Swenson,3669822060,5929.67,4466
Garrik,Calderonello,Maryland,5872357453,19026.45,7711
Muhammad,Spinello,Warm Springs,2998240605,2067.89,1462
Steffen,Biddleston,Swenson,1441107655,19204.39,2717
Franklin,Canto,Decatur,5972626490,15010.89,4748
Aluino,Rofe,Maryland,7128665318,3190.92,3462
Chase,Shellibeer,Fort Apache,7890952039,17408.62,6927
Jamaal,Binton,Durango,8672124707,18349.42,5294
Tiffie,Lygo,Desert Inn,9119085640,17957.79,1254
Clyde,Llewellin,Paradise,8606522190,1330.12,4565
Gibbie,Lamprey,Maryland,5224936145,5178.98,2611
Alard,Natt,Tropicana,1130531323,13925.83,6355
Marge,Packwood,Flamingo,2315551848,16770.64,9722
Trish,Mc Meekin,Desert Inn,7883740168,13929.14,4632
Joey,Mirams,Flamingo,6581161498,2207.05,7923
Clio,Speare,Maryland,1275587932,8035.93,6334
Valli,Manntschke,Spring Mountain,5012890148,16179.34,5696
Janaye,Ginni,Durango,6713867671,1105.15,3092
Orelee,Palk,Decatur,5556298468,10788.89,3547
Lawrence,Breslane,Maryland,7406447205,2455.04,8401
Felic,Pablos,Rainbow,3382945124,17956.05,7904
Banky,Mapis,Flamingo,9066425839,12051.79,9129
Adrea,Belham,Warm Springs,3447112908,4975.28,5297
Sawyer,Extance,Charleston,3100128160,1903.65,6598
Mahalia,Nettle,Paradise,4663115587,2618.95,4785
Mandie,Quinion,Charleston,3804148506,19575.94,9811
Angele,Baglan,Warm Springs,5262244885,6654.61,6034
Kinnie,Abazi,Flamingo,9128673513,18135.85,1803
Marjy,Mayou,Warm Springs,4527050189,1677.95,2109
Yule,Kerrich,Durango,5948491627,15116.95,9158
Friedrick,Hanster,Paradise,3137684357,6721.43,1739
Lory,Gotling,Maryland,3263390570,13190.03,5620
Meredith,Delouch,Las Vegas,3636066168,9754.02,2605
Roslyn,Topling,Tropicana,3155121518,13922.39,9761
Kayne,Breddy,Blue Diamond,3529679919,8743.84,8153
Adolpho,Danilyuk,Rainbow,4987620391,19898.18,7928
Consuelo,Tullot,Spring Mountain,8254687761,11792.15,6803
Torry,Sunners,Tropicana,1466305663,10323.55,5976
Deana,Grafton,Flamingo,8891220316,2262.18,8159
Winny,Feeham,Rainbow,4723768184,7479.39,9398
Pippa,Swigger,Rainbow,8903628840,8249.88,1941
Zenia,Garthland,Desert Inn,8391734536,2458.41,5889
Ivy,Boar,Flamingo,7850915814,19621.69,7566
Kizzie,Herculson,Swenson,3729515928,17829.8,4601
Waylon,Scullin,Desert Inn,1611925238,9355.82,3406
Gabey,Gilbank,Fort Apache,5426306063,10862.5,1244
Neils,Atwater,Rainbow,4867568638,18792.43,5613
Stanley,Priddy,Rainbow,8117122273,19463.56,8875
Oliviero,Claughton,Paradise,2511411359,2144.55,3280
Regan,Brehault,Paradise,1546732575,6581.24,1037
Cherida,Gilbert,Paradise,4170828562,1801.52,2571
Ringo,Britto,Flamingo,9958565267,11701.19,3953
Engracia,Dumke,Fort Apache,6297480608,12145.3,5341
Joella,Nellis,Tropicana,9400413433,6964.69,7336
Raeann,Chretien,Paradise,8988613325,18232.56,1725
Doralin,Dooler,Charleston,2689330839,5471.29,3069
Brodie,Armfield,Tropicana,7737872513,19530.24,9988
Darci,Carah,Tropicana,7794780054,9223.52,4303
Sonny,Corneille,Paradise,4206265903,9494.66,7602
Tedie,D'Abbot-Doyle,Durango,9644217881,19118.65,4800
Caresse,Sprowson,Spring Mountain,2121987037,6996.36,1422
Arlina,Menego,Decatur,8908251174,17026,8710
Josefa,Commin,Las Vegas,8729495750,3310.81,7912
Madison,Gierth,Las Vegas,5837767620,12761.11,7530
Elsinore,Leng,Las Vegas,9512320702,9522.63,2175
Emogene,Brisse,Blue Diamond,1512717426,13911.08,8547
Cully,Toomer,Spring Mountain,6336392098,10645.42,4754
Myranda,Dansken,Swenson,9214502112,8307.5,2377
Zoe,Scambler,Flamingo,1772009679,1832.13,5335
Tripp,Nissle,Tropicana,2024795684,4932.89,2317
Ignazio,Drew,Las Vegas,5174306970,11659.57,8578
Vivyan,Redgate,Swenson,2863111045,13516.67,1811
Janessa,Huddles,Swenson,6855957647,15758.83,8963
Pier,Gibbard,Maryland,7722811460,14505,3255
Horten,Brezlaw,Paradise,7846642475,18842.43,9938
Osborne,Thal,Swenson,8379389818,8500.3,6506
Kayley,Ziemens,Warm Springs,1312542477,4470.32,6398
Cyndy,Brabant,Swenson,2612189955,5369.97,3278
Casper,Fearick,Las Vegas,5421340654,5934.21,1322
Giselle,Scamadin,Decatur,1776425345,11507.15,7262
Pattie,Challenor,Fort Apache,8753501522,14183.88,1695
Calvin,MacCaffery,Tropicana,8072150304,15656.66,5919
Jud,Hall-Gough,Rainbow,8483077969,8205.5,5952
Huberto,Poynter,Flamingo,7142876350,19056.86,7889
Gare,Tinkler,Desert Inn,9680947029,5091.46,2252
Dene,Housen,Swenson,6935065627,9027.72,5899
Hanna,Maciejewski,Paradise,2300004012,9161.04,2460
Frants,Searby,Tropicana,5794465287,16128.43,5661
Ricard,Adams,Fort Apache,4780376307,12571.67,4449
Prentice,Behr,Blue Diamond,5599920602,11680.57,8249
Amy,Gocher,Spring Mountain,5475880481,5847.19,3912
Eliot,Brettell,Fort Apache,4198781569,5658.76,8625
Carline,Broxis,Maryland,5726470860,9386.05,5881
Nerita,Fronks,Las Vegas,4170223482,5631.51,2643
Freddi,Manoch,Rainbow,6085318420,15780.3,8784
Vonni,Landy,Decatur,9860140147,16408.85,4767
Justino,Januszewicz,Charleston,8042545789,12931.75,1760
Benson,Mansbridge,Charleston,7539160160,16825.8,9560
Austin,Luckey,Rainbow,3810332325,7587.31,2441
Stephie,De Cruce,Flamingo,3159088378,19846.86,8233
Thelma,Lordon,Flamingo,3645664245,6694.41,3705
Dede,Blazynski,Charleston,2021100681,3934.79,8309
Lion,Crame,Durango,9877602459,1046.08,2250
Amie,Mamwell,Decatur,5751677431,8352.04,5383
Barri,Peres,Tropicana,6208630947,9237.91,4390
Sibley,Spaunton,Charleston,9364300219,17437.49,9185
Hunfredo,Eagell,Desert Inn,6132389313,1709.47,5134
Freddie,Benion,Decatur,1322809153,19567.19,1738
Rozalie,Cisec,Warm Springs,6822202791,14648.19,8154
Phaidra,Skehan,Desert Inn,1889728183,14223.03,7674
Shellysheldon,Wrotham,Paradise,7172148633,4656.9,2713
